,Dataset,Compression_method,Model,Fold,nun_zero_coefs,R2_score_train,MAE_score_train,RMSE_score_train,rho_score_train,R2_score_test,MAE_score_test,RMSE_score_test,rho_score_test,dataset_size,group,prot_length
3272,UBC9 HUMAN,bos,esm2_150M,3,143,0.3996526245338756,0.2965646047777013,0.3883370328016748,0.6797400784309463,0.2560063876734899,0.3289801817916326,0.431399967552492,0.570776435877727,2721,Growth,158
3273,UBC9 HUMAN,bos,esm2_150M,4,152,0.3819447835277769,0.3032842247808958,0.3982484592682354,0.6757084798813712,0.2955935210471045,0.3124228074464569,0.4010861937129696,0.6118279572312435,2721,Growth,158
3274,UBC9 HUMAN,bos,esm2_150M,5,108,0.341009236592826,0.3137809995960313,0.3991670422569131,0.6352694482263486,0.2481010722331792,0.339647903101575,0.4651927040074909,0.5792489314617632,2721,Growth,158
3275,MK01 HUMAN,iDCT2,esm2_150M,1,85,0.1547668926807981,0.7710149401180614,1.0489966078070545,0.4496868105219342,0.1019043799714451,0.7930747782610372,1.080880735056869,0.3626297335957594,6809,Growth,360
3276,MK01 HUMAN,iDCT2,esm2_150M,2,86,0.1473600623769021,0.7781967835638547,1.053025708889426,0.4339217259325493,0.1283336820600452,0.7783383038219164,1.066632845338975,0.4197922495644632,6809,Growth,360
3277,MK01 HUMAN,iDCT2,esm2_150M,3,77,0.1337918907106328,0.7829727179865307,1.061342999894754,0.4173862353896444,0.130096851738273,0.7902228156419846,1.0660390328986218,0.4101236182323341,6809,Growth,360
3278,MK01 HUMAN,iDCT2,esm2_150M,4,80,0.1416356202510281,0.7801215388423552,1.0572295847224429,0.4278416043021709,0.1169514681157291,0.7890791301941278,1.07105056944562,0.3881865559472016,6809,Growth,360
3279,MK01 HUMAN,iDCT2,esm2_150M,5,88,0.1473904362427556,0.7714066317540091,1.0540806971603267,0.4385843775419592,0.1227198805285266,0.787713302870498,1.0640904597868293,0.3950076578906833,6809,Growth,360
3280,TPK1 HUMAN,iDCT2,esm2_150M,1,135,0.1897319020818293,0.3996407796015887,0.4827416182504807,0.4647304606079265,0.1212454052454661,0.4087407688101271,0.4944924003406726,0.3672587350445091,3424,Growth,243
3281,TPK1 HUMAN,iDCT2,esm2_150M,2,124,0.1899215986452904,0.4001948446872291,0.4823891953356479,0.4654650123991741,0.1001788241131358,0.413271968479559,0.500993409768403,0.3292112657218506,3424,Growth,243
3282,TPK1 HUMAN,iDCT2,esm2_150M,3,118,0.1843725981815416,0.3996748192138072,0.4800833457206804,0.4631367105000652,0.1094813985261439,0.4257414692067349,0.5154701428299996,0.3322781578734947,3424,Growth,243
3283,TPK1 HUMAN,iDCT2,esm2_150M,4,128,0.1983788192971635,0.393959045519124,0.4769045350425009,0.4797174267694258,0.082435947637401,0.4334901774295537,0.5192830058091423,0.2793298222346935,3424,Growth,243
3284,TPK1 HUMAN,iDCT2,esm2_150M,5,158,0.2122396116305422,0.3903715090837326,0.4759653040998602,0.4841478621635743,0.0956827982270148,0.4119417988013852,0.5016647501591941,0.3298733990512001,3424,Growth,243
3285,TIM SULSO,sigmoid1,esm2_150M,1,40,0.2744815226482388,0.4228470536448916,0.5187059350660628,0.5707819251807179,0.2246879854076953,0.4509773575068976,0.5388064025245923,0.5134347993694136,1519,Growth,248
3286,TIM SULSO,sigmoid1,esm2_150M,2,59,0.3511192683760159,0.4005036933709722,0.4936720705884864,0.6255115027379669,0.2876020675737563,0.4047858386310987,0.5039330892762374,0.5463672165318344,1519,Growth,248
3287,TIM SULSO,sigmoid1,esm2_150M,3,51,0.3061418735081999,0.4161889799351387,0.5060293951159025,0.5904353098420783,0.2549521062411435,0.4225843445603425,0.5338998762437718,0.5722883332336685,1519,Growth,248
3288,TIM SULSO,sigmoid1,esm2_150M,4,34,0.2719257943127163,0.4308080829285393,0.5226272784386831,0.5838197435621059,0.1799030913718088,0.4503036136485234,0.5420943316867312,0.4454441777223451,1519,Growth,248
3289,TIM SULSO,sigmoid1,esm2_150M,5,45,0.2814545223587131,0.4214779516127804,0.5144101880708033,0.5908119535550603,0.2546396006041694,0.4444549079471153,0.5363496351528502,0.5554644389151359,1519,Growth,248
3290,RL401 2016,rbf1,esm2_150M,1,142,0.6095347667929689,0.086567160941857,0.1165591425638973,0.7440937437852927,0.5133288955475837,0.0928333944033647,0.1306700135695856,0.6890977222355267,1324,Growth,128
3291,RL401 2016,rbf1,esm2_150M,2,147,0.6411908424819757,0.0826965450652824,0.1124101555862029,0.766137350928296,0.4337756807171218,0.0992037227514568,0.1375782651454868,0.6490046881163348,1324,Growth,128
3292,RL401 2016,rbf1,esm2_150M,3,130,0.6314101128800443,0.0858304868114751,0.1147976033962957,0.7638509736195339,0.3843263825595396,0.1003614250566024,0.1381716854591829,0.5910555139604179,1324,Growth,128
3293,RL401 2016,rbf1,esm2_150M,4,117,0.6124992619250078,0.0846338736066016,0.1148999359765263,0.7429934499269243,0.4529895210284377,0.1076667392992553,0.1432048123153811,0.6632365105290591,1324,Growth,128
